remaining_lease_in_months,percentage
863,0.848888889
862,0.848547009
861,0.848205128
860,0.847863248
859,0.847521368
858,0.847179487
857,0.846837607
856,0.846495726
855,0.846153846
854,0.845811966
853,0.845470085
852,0.845128205
851,0.844786325
850,0.844444444
849,0.844102564
848,0.843760684
847,0.843418803
846,0.843076923
845,0.842735043
844,0.842393162
843,0.842051282
842,0.841709402
841,0.841367521
840,0.841025641
839,0.840683761
838,0.84034188
837,0.84
836,0.83965812
835,0.839316239
834,0.838974359
833,0.838632479
832,0.838290598
831,0.837948718
830,0.837606838
829,0.837264957
828,0.836923077
827,0.836581197
826,0.836239316
825,0.835897436
824,0.835555556
823,0.835213675
822,0.834871795
821,0.834529915
820,0.834188034
819,0.833846154
818,0.833504274
817,0.833162393
816,0.832820513
815,0.832478632
814,0.832136752
813,0.831794872
812,0.831452991
811,0.831111111
810,0.830769231
809,0.83042735
808,0.83008547
807,0.82974359
806,0.829401709
805,0.829059829
804,0.828717949
803,0.828376068
802,0.828034188
801,0.827692308
800,0.827350427
799,0.827008547
798,0.826666667
797,0.826324786
796,0.825982906
795,0.825641026
794,0.825299145
793,0.824957265
792,0.824615385
791,0.824273504
790,0.823931624
789,0.823589744
788,0.823247863
787,0.822905983
786,0.822564103
785,0.822222222
784,0.821880342
783,0.821538462
782,0.821196581
781,0.820854701
780,0.820512821
779,0.82017094
778,0.81982906
777,0.819487179
776,0.819145299
775,0.818803419
774,0.818461538
773,0.818119658
772,0.817777778
771,0.817435897
770,0.817094017
769,0.816752137
768,0.816410256
767,0.816068376
766,0.815726496
765,0.815384615
764,0.815042735
763,0.814700855
762,0.814358974
761,0.814017094
760,0.813675214
759,0.813333333
758,0.812991453
757,0.812649573
756,0.812307692
755,0.811965812
754,0.811623932
753,0.811282051
752,0.810940171
751,0.810598291
750,0.81025641
749,0.80991453
748,0.80957265
747,0.809230769
746,0.808888889
745,0.808547009
744,0.808205128
743,0.807863248
742,0.807521368
741,0.807179487
740,0.806837607
739,0.806495726
738,0.806153846
737,0.805811966
736,0.805470085
735,0.805128205
734,0.804786325
733,0.804444444
732,0.804102564
731,0.803760684
730,0.803418803
729,0.803076923
728,0.802735043
727,0.802393162
726,0.802051282
725,0.801709402
724,0.801367521
723,0.801025641
722,0.800683761
721,0.80034188
720,0.8
719,0.799444444
718,0.798888889
717,0.798333333
716,0.797777778
715,0.797222222
714,0.796666667
713,0.796111111
712,0.795555556
711,0.795
710,0.794444444
709,0.793888889
708,0.793333333
707,0.792777778
706,0.792222222
705,0.791666667
704,0.791111111
703,0.790555556
702,0.79
701,0.789444444
700,0.788888889
699,0.788333333
698,0.787777778
697,0.787222222
696,0.786666667
695,0.786111111
694,0.785555556
693,0.785
692,0.784444444
691,0.783888889
690,0.783333333
689,0.782777778
688,0.782222222
687,0.781666667
686,0.781111111
685,0.780555556
684,0.78
683,0.779444444
682,0.778888889
681,0.778333333
680,0.777777778
679,0.777222222
678,0.776666667
677,0.776111111
676,0.775555556
675,0.775
674,0.774444444
673,0.773888889
672,0.773333333
671,0.772777778
670,0.772222222
669,0.771666667
668,0.771111111
667,0.770555556
666,0.77
665,0.769444444
664,0.768888889
663,0.768333333
662,0.767777778
661,0.767222222
660,0.766666667
659,0.766111111
658,0.765555556
657,0.765
656,0.764444444
655,0.763888889
654,0.763333333
653,0.762777778
652,0.762222222
651,0.761666667
650,0.761111111
649,0.760555556
648,0.76
